Locations,Latitude,Longitude
Monclova,26.0,-101.0
Monttague I,31.0,-114.0
Monte Alban,17.0,-96.0
Monttemorelos,25.0,-99.0
Monterrey,25.0,-100.0
Morelia,19.0,-101.0
Morelos,26.0,-107.0
Morelos,18.0,-99.0
Moris,28.0,-108.0
Moroleon,20.0,-101.0
Motozintla de Mendoza,15.0,-92.0
Motul,21.0,-89.0
Movas,38.0,-109.0
Muerto Mar,16.0,-94.0
Muleje,26.0,-112.0
Naco,31.0,-109.0
Nacori Chico,29.0,-109.0
Nacozari,29.0,-109.0
Naica,27.0,-105.0
"Natividad, I.",27.0,-115.0
Nautla,20.0,-96.0
Nava,28.0,-100.0
Navojoa,27.0,-109.0
Navolato,24.0,-107.0
Nayarit,22.0,-105.0
Nazas,25.0,-104.0
Netzahualcoyoti Presa,17.0,-93.0
Nogales,31.0,-110.0
Nonoava,27.0,-106.0
Nonava,27.0,-106.0
Nueva Rosita,28.0,-101.0
Nuevo Casas Grandes,30.0,-108.0
Nuevo Laredo,27.0,-99.0
Nuevo Leon,25.0,-100.0
Nuri,28.0,-109.0
Oaxaca,17.0,-96.0
Ocampo Chihuahua,28.0,-108.0
Ocampo Tamaulipas,22.0,-99.0
Ocosingo,17.0,-92.0
Ocotlan,20.0,-102.0
Ocotlan,20.0,-102.0
Ocotlan de Morelos,16.0,-96.0
Ojacaliente,22.0,-102.0
Ojinaga,29.0,-104.0
Ometepec,16.0,-98.0
Onavas,28.0,-109.0
Orestos Pereyra,26.0,-105.0
Orizaba,18.0,-97.0
Oro,25.0,-105.0
Ozuluama,21.0,-97.0
Pachuca,20.0,-98.0
Palenque,7.0,-91.0
Palizada,18.0,-92.0
Panuco,22.0,-98.0
Papagayo,16.0,-99.0
Papantla,20.0,-97.0
Papigochic,29.0,-109.0
Paraiso,18.0,-93.0
Paricutin Cerro,19.0,-102.0
Parras,25.0,-102.0
Paso Cantinela,32.0,-15.0
Patzcuaro,19.0,-101.0
Paz B. de Ia,24.0,-110.0
Perez I.,22.0,-89.0
Pericos,25.0,-107.0
Petatlan,17.0,-101.0
Peto,20.0,-88.0
Piedras Negras,28.0,-100.0
Pijijiapan,15.0,-93.0
Pinos,22.0,-101.0
Pinotepa Nacional,16.0,-98.0
Pochutla,15.0,-96.0
Pocita Casas,28.0,-111.0
Pomaro,18.0,-103.0
"Popocatepeti, Volcan",19.0,-98.0
Poza Rica,20.0,-97.0
Presidio,29.0,-104.0
Progreso Coahuila,27.0,-101.0
Progreso Yucatan,21.0,-89.0
Puebla,19.0,-98.0
Puebla,18.0,-98.0
Puerto Angel,15.0,-96.0
Puerto Arista,15.0,-93.0
Puerto Escondido,15.0,-97.0
Puerto Juarez,21.0,-86.0
Puerto Morelos,20.0,-86.0
Puerto Penasco,31.0,-113.0
Puerto Vallarta,20.0,-105.0
Punta Prieta,28.0,-114.0
Queretaro,20.0,-100.0
Queretaro,20.0,-100.0
Quila,24.0,-107.0
Quntana Roo,19.0,-88.0
Raudales de Malpaso,17.0,-23.0
Rayon,29.0,-110.0
Reata,26.0,-101.0
Reynosa,26.0,-98.0
Rezekne,26.0,-98.0
Rio Lagartos,21.0,-88.0
Rio Verde,21.0,-99.0
Roca Partida I.,19.0,-112.0
Rojo C.,21.0,-97.0
Rosario Sinaloa,23.0,-105.0
Rosarito,32.0,-117.0
Sabinas,27.0,-101.0
Salado,26.0,-99.0
Salinas de Hidalgo,22.0,-101.0
Saltillo,25.0,-101.0
San Andres Tuxtla,18.0,-95.0
San Benedicto I.,19.0,-110.0
San Blas,26.0,-108.0
San Buenaventura,27.0,-101.0
San Juan,21.0,-102.0
"San Juan Bautista Valle,Nacional",17.0,-96.0
San Juan de la Costa,24.0,-110.0
San Juan del Rio,20.0,-100.0
San Lazaro C.,24.0,-112.0
San Luis de la Paz,21.0,-100.0
San Luis Potosi,22.0,-101.0
San Luis Rio colorado,32.0,-114.0
San Marcos,27.0,-112.0
San Pedro,28.0,-106.0
San Pedro Mixtepec,16.0,-97.0
San Pedro Ocampo/Melchor Ocampo,24.0,-101.0
San Quintin,30.0,-115.0
San Telmo,30.0,-116.0
San Tiburcio,24.0,-101.0
Sanaloa Presa,24.0,-107.0
Santa Ana,30.0,-111.0
Santa barbara,26.0,-105.0
Santa Clara El Golfo de,31.0,-114.0
Santa Magdalena I.,24.0,-112.0
Snata maria,24.0,-111.0
Santa Maria B. de,25.0,-108.0
Santa Rosalia,27.0,-112.0
Santiago,25.0,-105.0
Santiago Lxcuintla,21.0,-105.0
